scrape_datetime,base_url,category,product_url,product_name,catalog_code,stock_code,availability,buying_option,price
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-14-2-250c-14awg-solid-aluminum-armor-cable-copper-black-green-white-2-conductor-w-ground-coil-of-250ft,"MC-CABLE-AL-14/2-250C, 14AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/White, 2 Conductor w/Ground, Coil of 250ft",MC-CABLE-AL-14/2-250C,0042-0930,Available: (24500 Feet),Coil of 250 Feet,$817.75 per 1000
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-10-3-250c-10awg-solid-aluminum-armor-cable-copper-black-green-red-white-3-conductor-w-ground-coil-of-250ft,"MC-CABLE-AL-10/3-250C, 10AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/Red/White, 3 Conductor w/Ground, Coil of 250ft",MC-CABLE-AL-10/3-250C,0008-4313,Available: (49750 Feet),Coil of 250 Feet,"$2,262.96 per 1000"
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-12-2-1000r-12awg-solid-aluminum-armor-cable-copper-black-green-white-2-conductor-w-ground-reel-of-1000ft,"MC-CABLE-AL-12/2-1000R, 12AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/White, 2 Conductor w/Ground, Reel of 1000ft",MC-CABLE-AL-12/2-1000R,0013-1542,Available: (77000 Feet),Reel of 1000 Feet,$725.73 per 1000
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-10-2-1000r-10awg-solid-aluminum-armor-cable-copper-black-green-white-2-conductor-w-ground-reel-of-1000ft,"MC-CABLE-AL-10/2-1000R, 10AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/White, 2 Conductor w/Ground, Reel of 1000ft",MC-CABLE-AL-10/2-1000R,0013-2379,Available: (11000 Feet),Reel of 1000 Feet,"$1,634.64 per 1000"
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-6-3-6awg-solid-aluminum-armor-cable-copper-black-green-red-white-3-conductor-w-ground-cut-length,"MC-CABLE-AL-6/3, 6AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/Red/White, 3 Conductor w/Ground, Cut Length",MC-CABLE-AL-6/3,0109-7367,Available: (5130 Feet),,$4.47 per 1
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-6-2-6awg-solid-aluminum-armor-cable-copper-black-green-white-2-conductor-w-ground-cut-length,"MC-CABLE-AL-6/2, 6AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/White, 2 Conductor w/Ground, Cut Length",MC-CABLE-AL-6/2,0109-7361,Available: (6379 Feet),,$3.30 per 1
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-14-3-250c-14awg-solid-aluminum-armor-cable-copper-black-green-red-white-3-conductor-w-ground-coil-of-250ft,"MC-CABLE-AL-14/3-250C, 14AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/Red/White, 3 Conductor w/Ground, Coil of 250ft",MC-CABLE-AL-14/3-250C,0042-0939,Available: (6500 Feet),Coil of 250 Feet,"$1,466.82 per 1000"
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-8-3-8awg-solid-aluminum-armor-cable-copper-black-green-red-white-3-conductor-w-ground-cut-length,"MC-CABLE-AL-8/3, 8AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/Red/White, 3 Conductor w/Ground, Cut Length",MC-CABLE-AL-8/3,0109-7364,Available: (10676 Feet),,$3.09 per 1
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-8-2-8awg-solid-aluminum-armor-cable-copper-black-green-white-2-conductor-w-ground-cut-length,"MC-CABLE-AL-8/2, 8AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/White, 2 Conductor w/Ground, Cut Length",MC-CABLE-AL-8/2,0109-7358,Available: (35898 Feet),,$2.25 per 1
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-12-4-250-12awg-solid-aluminum-armor-cable-copper-black-blue-green-red-white-4-conductor-w-ground-coil-of-250ft,"MC-CABLE-AL-12/4-250, 12AWG, Solid, Aluminum Armor Cable, Copper, Black/Blue/Green/Red/White, 4 Conductor w/Ground, Coil of 250ft",MC-CABLE-AL-12/4-250,0042-0951,Available: (6750 Feet),Coil of 250 Feet,"$1,760.67 per 1000"
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-12-3-1000r-12awg-solid-aluminum-armor-cable-copper-black-green-red-white-3-conductor-w-ground-reel-of-1000ft,"MC-CABLE-AL-12/3-1000R, 12AWG, Solid, Aluminum Armor Cable, Copper, Black/Green/Red/White, 3 Conductor w/Ground, Reel of 1000ft",MC-CABLE-AL-12/3-1000R,0013-1551,Available: (18000 Feet),Reel of 1000 Feet,"$1,267.76 per 1000"
2025-02-27 14:04:50,https://www.cityelectricsupply.com/aluminum-armor,MC Cable,https://www.cityelectricsupply.com/mc-cable-al-12-2-red-wht-12awg-solid-mc-cable-copper-green-red-white-2-conductor-w-ground-reel-of-250ft,"MC-CABLE-AL-12/2-RED/WHT, 12AWG, Solid, MC Cable, Copper, Green, Red, White, 2 Conductor w/Ground, Reel of 250ft",MC-CABLE-AL-12/2-RED/WHT,0262-1100,Available: (500 Feet),Reel of 250 Feet,$707.14 per 1000
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/urd-sweetbriar-4-0-4-0-2-0-stranded-direct-burial-cable-aluminum-black-3-conductor-w-2-0-neutral-cut-length,"URD-SWEETBRIAR, 4/0-4/0-2/0, Stranded, Direct Burial Cable, Aluminum, Black, 3 Conductor w/2/0 Neutral, Cut Length",URD-SWEETBRIAR,0008-1583,Available: (8293 Feet),,$3.66 per 1
2025-02-27 14:04:53,https://www.cityelectricsupply.com/urd,URD,https://www.cityelectricsupply.com/1329-urd-sweetbriar-urd-sweetbriar-4-0-4-0-2-0-1000ft,1329 URD-SWEETBRIAR URD SWEETBRIAR 4/0-4/0-2/0-1000FT,URD-SWEETBRIAR,0599-0340,Available: (0 Feet),,"$3,874.98 per 1000"
